name,team,opponent,week,season,isHome,FG,PCT,LONG,XP,PTS
Randy Bullock,TEN,BUF,2,2022,True,0/0,0.0,0,1/1,1
Tyler Bass,BUF,TEN,2,2022,False,2/2,100.0,49,5/5,11
Daniel Carlson,LV,LAR,14,2022,True,3/3,100.0,52,1/1,10
Matt Gay,LAR,LV,14,2022,False,1/2,50.0,55,2/2,5
Jason Sanders,MIA,CHI,9,2022,True,0/1,0.0,0,5/5,5
Cairo Santos,CHI,MIA,9,2022,False,1/1,100.0,32,3/3,6
Matt Gay,LAR,KC,12,2022,True,1/1,100.0,47,1/1,4
Harrison Butker,KC,LAR,12,2022,False,4/4,100.0,32,2/2,14
Matt Gay,LAR,SEA,18,2022,True,3/3,100.0,45,1/1,10
Jason Myers,SEA,LAR,18,2022,False,4/5,80.0,37,1/1,13
Nick Folk,NE,DET,5,2022,False,5/5,100.0,44,2/2,17
Dustin Hopkins,CLE,HOU,16,2023,True,0/0,0.0,0,2/2,2
Ka'imi Fairbairn,HOU,CLE,16,2023,False,0/0,0.0,0,2/2,2
Chris Boswell,PIT,CLE,3,2022,True,1/2,50.0,34,2/2,5
Cade York,CLE,PIT,3,2022,False,1/1,100.0,34,2/3,5
Ka'imi Fairbairn,HOU,DEN,2,2022,True,3/3,100.0,44,0/0,9
Brandon McManus,DEN,HOU,2,2022,False,3/3,100.0,50,1/1,10
Younghoe Koo,ATL,TB,7,2023,True,3/3,100.0,51,1/1,10
Chase McLaughlin,TB,ATL,7,2023,False,2/2,100.0,36,1/1,7
Riley Patterson,DET,SEA,17,2021,True,0/1,0.0,0,3/3,3
Jason Myers,SEA,DET,17,2021,False,3/3,100.0,51,6/6,15
Nick Folk,NE,MIA,18,2021,True,1/1,100.0,43,3/3,6
Jason Sanders,MIA,NE,18,2021,False,2/2,100.0,49,3/3,9
Greg Joseph,MIN,CHI,15,2021,True,1/1,100.0,37,2/2,5
Cairo Santos,CHI,MIN,15,2021,False,1/2,50.0,34,0/0,3
Younghoe Koo,ATL,DAL,10,2021,True,1/1,100.0,35,0/0,3
Lirim Hajrullahu,DAL,ATL,10,2021,False,0/0,0.0,0,5/5,5
Nick Folk,NE,BUF,18,2022,True,1/1,100.0,24,2/2,5
Tyler Bass,BUF,NE,18,2022,False,0/0,0.0,0,5/5,5
Tyler Bass,BUF,WSH,3,2023,True,3/3,100.0,54,4/4,13
Joey Slye,WSH,BUF,3,2023,False,1/1,100.0,51,0/0,3
Randy Bullock,TEN,HOU,18,2021,True,0/1,0.0,0,4/4,4
Ka'imi Fairbairn,HOU,TEN,18,2021,False,1/1,100.0,31,2/2,5
Evan McPherson,CIN,DET,6,2021,True,2/2,100.0,40,4/4,10
Austin Seibert,DET,CIN,6,2021,False,1/1,100.0,35,0/0,3
Ryan Succop,TB,PHI,6,2021,True,0/0,0.0,0,4/4,4
Jake Elliott,PHI,TB,6,2021,False,0/1,0.0,0,2/2,2
Mason Crosby,GB,MIN,1,2022,True,0/0,0.0,0,1/1,1
Greg Joseph,MIN,GB,1,2022,False,3/3,100.0,56,2/2,11
Robbie Gould,SF,DEN,3,2022,True,1/1,100.0,51,1/1,4
Brandon McManus,DEN,SF,3,2022,False,1/2,50.0,55,0/0,3
Nick Folk,TEN,CLE,3,2023,True,1/1,100.0,44,0/0,3
Dustin Hopkins,CLE,TEN,3,2023,False,2/2,100.0,52,3/3,9
Matt Gay,IND,CIN,14,2023,True,0/1,0.0,0,0/1,0
Evan McPherson,CIN,IND,14,2023,False,2/2,100.0,35,4/4,10
Ryan Succop,TB,NE,4,2021,True,4/5,80.0,48,1/1,13
Nick Folk,NE,TB,4,2021,False,1/2,50.0,27,2/2,5
Harrison Butker,KC,TEN,7,2021,True,1/2,50.0,42,0/0,3
Randy Bullock,TEN,KC,7,2021,False,2/2,100.0,51,3/3,9
Chase McLaughlin,IND,TEN,7,2022,True,1/1,100.0,50,1/1,4
Randy Bullock,TEN,IND,7,2022,False,4/4,100.0,48,1/1,13
Greg Joseph,MIN,DET,14,2022,True,1/1,100.0,41,2/2,5
