Name,PlayerID,Experience,Height,Weight,Position,Age,Team,TeamID,isFreeAgent,Headshot,espnID
Brenden Schooler,4047941,3,"6'2""",210,S,26,NE,22,False,https://a.espncdn.com/i/headshots/nfl/players/full/4047941.png,4047941
Payne Durham,4372505,R,"6'6""",253,TE,23,TB,30,False,https://a.espncdn.com/i/headshots/nfl/players/full/4372505.png,4372505
Yosh Nijman,3871880,5,"6'7""",314,OT,28,CAR,5,False,https://a.espncdn.com/i/headshots/nfl/players/full/3871880.png,3871880
Ramiz Ahmed,4266790,1,"5'11""",182,PK,28,GB,12,True,N/A,4266790
Carson Strong,4361435,R,"6'3""",226,QB,24,ARI,1,True,https://a.espncdn.com/i/headshots/nfl/players/full/4361435.png,4361435
Trevor Lawrence,4360310,4,"6'6""",220,QB,24,JAX,15,False,https://a.espncdn.com/i/headshots/nfl/players/full/4360310.png,4360310
Hunter Nourzad,4367645,R,"6'3""",315,C,23,KC,16,False,https://a.espncdn.com/i/headshots/college-football/players/full/4367645.png,4367645
Greg Mancz,2516865,8,"6'4""",302,C,32,BUF,4,True,https://a.espncdn.com/i/headshots/nfl/players/full/2516865.png,2516865
Taiwan Jones,14167,13,"6'0""",195,RB,35,NYG,24,True,https://a.espncdn.com/i/headshots/nfl/players/full/14167.png,14167
Ryan Swoboda,4240851,R,"6'9""",325,OT,25,ATL,2,False,https://a.espncdn.com/i/headshots/nfl/players/full/4240851.png,4240851
Deion Jennings,4372461,R,"6'1""",235,LB,N/A,BAL,3,False,https://a.espncdn.com/i/headshots/college-football/players/full/4372461.png,4372461
Luke Tenuta,4361979,3,"6'8""",314,OT,24,GB,12,False,https://a.espncdn.com/i/headshots/nfl/players/full/4361979.png,4361979
Velus Jones Jr.,4035693,3,"6'0""",200,WR,26,CHI,6,False,https://a.espncdn.com/i/headshots/nfl/players/full/4035693.png,4035693
Lewis Cine,4426536,3,"6'2""",199,S,24,MIN,21,False,https://a.espncdn.com/i/headshots/nfl/players/full/4426536.png,4426536
Dawson Deaton,4241848,3,"6'1""",306,G,25,CLE,8,False,https://a.espncdn.com/i/headshots/nfl/players/full/4241848.png,4241848
Will Hernandez,3042516,7,"6'2""",332,G,28,ARI,1,False,https://a.espncdn.com/i/headshots/nfl/players/full/3042516.png,3042516
Andy Dalton,14012,14,"6'2""",220,QB,36,CAR,5,False,https://a.espncdn.com/i/headshots/nfl/players/full/14012.png,14012
Tony Jones Jr.,4046676,4,"5'11""",224,RB,26,ARI,1,False,https://a.espncdn.com/i/headshots/nfl/players/full/4046676.png,4046676
Ethan Driskell,4571627,R,"6'9""",329,OT,N/A,KC,16,False,https://a.espncdn.com/i/headshots/college-football/players/full/4571627.png,4571627
Dalton Schultz,3117256,7,"6'5""",244,TE,27,HOU,13,False,https://a.espncdn.com/i/headshots/nfl/players/full/3117256.png,3117256
Josh Downs,4688813,2,"5'9""",171,WR,22,IND,14,False,https://a.espncdn.com/i/headshots/nfl/players/full/4688813.png,4688813
