,Name,Teams,Season,POS,GP,RUSH,REC,RET,TD,FG,XP,2PT,PTS,PTS/G
920,Antony Auclair,HOU,2021,TE,16,0,1,0,1,0,0,0,6,0.4
921,Alex Armah,WSH / NO,2021,RB,11,0,1,0,1,0,0,0,6,0.5
922,Deon Jackson,IND,2021,RB,9,1,0,0,1,0,0,0,6,0.7
923,Noah Gray,KC,2021,TE,16,0,1,0,1,0,0,0,6,0.4
924,Larry Rountree III,LAC,2021,RB,12,1,0,0,1,0,0,0,6,0.5
925,Trey Sermon,SF,2021,RB,9,1,0,0,1,0,0,0,6,0.7
926,Xavier McKinney,NYG,2021,S,17,0,0,1,1,0,0,0,6,0.4
927,Kenny Robinson,CAR,2021,S,10,0,0,0,1,0,0,0,6,0.6
928,Eno Benjamin,ARI,2021,RB,9,1,0,0,1,0,0,0,6,0.7
929,Mykal Walker,ATL,2021,LB,17,0,0,1,1,0,0,0,6,0.4
930,Elijah Molden,TEN,2021,CB,16,0,0,1,1,0,0,0,6,0.4
931,Nico Collins,HOU,2021,WR,14,0,1,0,1,0,0,0,6,0.4
932,Andrew Thomas,NYG,2021,OT,13,0,1,0,1,0,0,0,6,0.5
933,Brandon Zylstra,CAR,2021,WR,14,0,1,0,1,0,0,0,6,0.4
934,Tavierre Thomas,HOU,2021,CB,17,0,0,1,1,0,0,0,6,0.4
935,Kyle Pitts,ATL,2021,TE,17,0,1,0,1,0,0,0,6,0.4
936,Rashod Bateman,BAL,2021,WR,12,0,1,0,1,0,0,0,6,0.5
937,Nick Bolton,KC,2021,LB,16,0,0,1,1,0,0,0,6,0.4
938,Anthony Schwartz,CLE,2021,WR,14,0,1,0,1,0,0,0,6,0.4
939,Pat Surtain II,DEN,2021,CB,16,0,0,1,1,0,0,0,6,0.4
940,Rondale Moore,ARI,2021,WR,14,0,1,0,1,0,0,0,6,0.4
941,Tevaughn Campbell,LAC,2021,CB,16,0,0,1,1,0,0,0,6,0.4
942,Brandin Echols,NYJ,2021,CB,14,0,0,1,1,0,0,0,6,0.4
943,Nahshon Wright,DAL,2021,CB,13,0,0,0,1,0,0,0,6,0.5
944,Josh Lambo,JAX,2021,PK,3,0,0,0,0,0,5,0,5,1.7
945,Chris Naggar,CLE,2021,PK,1,0,0,0,0,1,1,0,4,4.0
946,Cody Parkey,NO,2021,PK,1,0,0,0,0,0,3,0,3,3.0
947,Josh Johnson,BAL / NYJ,2021,QB,4,0,0,0,0,0,0,1,2,0.5
948,Carlos Dunlap,SEA,2021,DE,17,0,0,0,0,0,0,0,2,0.1
949,Casey Hayward,LV,2021,CB,17,0,0,0,0,0,0,0,2,0.1
950,James O'Shaughnessy,JAX,2021,TE,7,0,0,0,0,0,0,1,2,0.3
951,Angelo Blackson,CHI,2021,DE,17,0,0,0,0,0,0,0,2,0.1
952,KhaDarel Hodge,DET,2021,WR,16,0,0,0,0,0,0,1,2,0.1
953,Mike White,NYJ,2021,QB,4,0,0,0,0,0,0,1,2,0.5
954,William Fuller V,MIA,2021,WR,2,0,0,0,0,0,0,1,2,1.0
955,Jacob Martin,HOU,2021,DE,17,0,0,0,0,0,0,0,2,0.1
956,Jordan Love,GB,2021,QB,6,0,0,0,0,0,0,1,2,0.3
957,Miles Sanders,PHI,2021,RB,12,0,0,0,0,0,0,1,2,0.2
958,Dan Arnold,CAR / JAX,2021,TE,11,0,0,0,0,0,0,1,2,0.2
959,Davis Mills,HOU,2021,QB,13,0,0,0,0,0,0,1,2,0.2
